                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4261,                 1.8917,                 1.6626,                0.46607,                0.66709,                0.60778,                 0.2958,                 1.7179,                 5.7085,                 2.5416,             0.00055083,             0.00055083,             0.00055083
                      2,                 1.5615,                 1.7411,                  1.749,                0.49037,                0.53584,                0.48857,                0.22806,                 1.8771,                 2.1298,                  2.437,                0.00107,                0.00107,                0.00107
                      3,                 1.5744,                 1.7123,                 1.7475,                0.80278,                0.53034,                0.66376,                0.34797,                 1.9039,                 1.9254,                 2.2484,              0.0015525,              0.0015525,              0.0015525
                      4,                 1.5066,                 1.6258,                 1.6796,                0.69817,                 0.7088,                0.76099,                0.44369,                 1.6333,                 1.4829,                 1.9266,               0.001502,               0.001502,               0.001502
                      5,                 1.4455,                 1.4934,                 1.6314,                0.84877,                 0.7356,                0.82814,                0.49335,                 1.4832,                 1.2723,                  1.712,               0.001447,               0.001447,               0.001447
                      6,                 1.4082,                 1.4441,                 1.5994,                 0.7867,                0.79528,                0.82999,                0.55075,                 1.2591,                   1.27,                 1.5935,              0.0013919,              0.0013919,              0.0013919
                      7,                  1.372,                 1.3583,                 1.5677,                0.70952,                0.77437,                0.80097,                0.51186,                 1.4262,                 1.1249,                  1.704,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.3242,                 1.3108,                 1.5371,                0.79815,                0.81812,                0.85621,                0.53815,                 1.3512,                0.98146,                 1.6442,              0.0012819,              0.0012819,              0.0012819
                      9,                 1.2838,                 1.2361,                 1.5052,                0.88897,                0.73679,                0.85285,                 0.5858,                 1.2348,                0.93122,                 1.5364,              0.0012269,              0.0012269,              0.0012269
                     10,                 1.2692,                 1.2018,                 1.4853,                0.81937,                0.81187,                0.86965,                  0.591,                 1.2657,                0.93132,                 1.5273,              0.0011719,              0.0011719,              0.0011719
                     11,                 1.2422,                 1.1743,                 1.4656,                  0.868,                0.85802,                0.89253,                0.61913,                 1.1233,                0.88958,                 1.4217,              0.0011169,              0.0011169,              0.0011169
                     12,                 1.2292,                 1.1309,                 1.4586,                0.87704,                0.81409,                0.88904,                0.63601,                 1.1198,                 0.8324,                 1.4001,              0.0010619,              0.0010619,              0.0010619
                     13,                 1.1882,                 1.0991,                 1.4328,                0.84253,                0.78187,                0.87544,                0.61118,                 1.1785,                0.88143,                 1.4226,              0.0010069,              0.0010069,              0.0010069
                     14,                 1.1545,                  1.039,                 1.4021,                0.90791,                0.84032,                0.88736,                0.60495,                 1.1601,                0.85763,                 1.4609,             0.00095186,             0.00095186,             0.00095186
                     15,                 1.1501,                 1.0238,                 1.3976,                0.84375,                0.82421,                0.88504,                0.62354,                  1.125,                0.85683,                 1.4089,             0.00089685,             0.00089685,             0.00089685
                     16,                 1.1399,                  1.013,                 1.3999,                0.82973,                0.84172,                0.88691,                0.62254,                 1.2052,                0.77533,                 1.5294,             0.00084184,             0.00084184,             0.00084184
                     17,                 1.1107,                0.99083,                 1.3702,                0.86226,                 0.8557,                0.90603,                0.67853,                 1.0611,                0.72979,                 1.3624,             0.00078682,             0.00078682,             0.00078682
                     18,                 1.1036,                0.97181,                 1.3689,                 0.8643,                0.84083,                0.89618,                0.67683,                 1.0659,                0.70151,                 1.3671,             0.00073181,             0.00073181,             0.00073181
                     19,                 1.0606,                0.89978,                 1.3378,                0.87953,                 0.8307,                0.88487,                0.66221,                 1.0038,                0.66898,                 1.2969,              0.0006768,              0.0006768,              0.0006768
                     20,                 1.0467,                0.91085,                 1.3296,                0.88238,                0.81796,                0.91223,                0.69204,                0.99525,                 0.6742,                 1.2995,             0.00062179,             0.00062179,             0.00062179
                     21,                0.96835,                0.74508,                 1.3384,                0.89761,                0.84229,                0.89471,                0.69195,                0.97322,                0.68295,                  1.311,             0.00056678,             0.00056678,             0.00056678
