                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95601,                 2.1254,                 1.3883,                0.21612,                0.23333,                0.12219,                 0.0562,                  1.973,                 10.171,                 2.2469,                0.00034,                0.00034,                0.00034
                      2,                0.78302,                 1.2883,                 1.2602,                0.05556,                0.28889,                0.03604,                0.01728,                 2.4133,                 11.987,                  2.539,              0.0006769,              0.0006769,              0.0006769
                      3,                0.87438,                 1.3309,                 1.3193,                0.00083,                0.07778,                0.00044,                0.00012,                    nan,                    nan,                    nan,             0.00099004,             0.00099004,             0.00099004
                      4,                0.93921,                 1.3538,                 1.3589,                0.00016,                0.01111,                  6e-05,                  1e-05,                    nan,                    nan,                    nan,              0.0012794,              0.0012794,              0.0012794
                      5,                0.87417,                 1.3165,                 1.3345,                  0.117,                0.16667,                0.04479,                0.03316,                 2.5444,                 12.588,                 3.3485,               0.001545,               0.001545,               0.001545
                      6,                0.83174,                 1.1883,                 1.2906,                  0.059,                0.44444,                 0.0476,                 0.0226,                 2.6871,                 6.6289,                 2.9857,                0.00167,                0.00167,                0.00167
                      7,                0.79432,                 1.1175,                 1.2654,                0.02375,                0.35556,                0.01627,                0.00991,                 2.5193,                 178.56,                 8.8551,               0.001604,               0.001604,               0.001604
                      8,                0.78907,                 1.0994,                 1.2602,                0.15353,                0.33333,                0.11567,                0.07043,                 1.4886,                 7.3749,                 2.0273,               0.001538,               0.001538,               0.001538
                      9,                0.73832,                  1.057,                 1.2377,                0.22457,                0.36667,                0.15027,                0.06144,                 2.1037,                 5.2478,                 2.5837,               0.001472,               0.001472,               0.001472
                     10,                0.73642,                 1.0291,                 1.2488,                0.50875,                0.56386,                0.47815,                0.21329,                 1.8117,                  2.847,                 1.9488,               0.001406,               0.001406,               0.001406
                     11,                0.71243,                 1.0541,                 1.2221,                0.63811,                0.64655,                0.65759,                0.49839,                 1.1401,                 2.0973,                 1.4559,                0.00134,                0.00134,                0.00134
                     12,                0.68187,                0.97687,                 1.2078,                0.51355,                0.52222,                0.46249,                0.26665,                 1.3217,                 2.7006,                 1.5974,               0.001274,               0.001274,               0.001274
                     13,                0.69846,                0.98525,                 1.2201,                0.40991,                0.45556,                0.40998,                 0.3117,                 1.0513,                 2.3294,                 1.3812,               0.001208,               0.001208,               0.001208
                     14,                0.68875,                 0.9811,                 1.2319,                0.64466,                0.66524,                 0.6757,                0.45954,                 1.1097,                 1.5254,                 1.4895,               0.001142,               0.001142,               0.001142
                     15,                0.65748,                0.95609,                 1.2086,                0.61518,                    0.7,                0.73479,                0.59137,                0.86809,                 1.1886,                  1.255,               0.001076,               0.001076,               0.001076
                     16,                0.64356,                0.95921,                 1.2115,                0.66105,                0.64444,                0.68193,                0.55505,                0.91749,                 1.3473,                 1.3071,                0.00101,                0.00101,                0.00101
                     17,                0.62675,                0.94894,                 1.1733,                 0.7745,                0.62222,                0.72604,                0.57346,                0.98101,                 1.3258,                 1.3781,               0.000944,               0.000944,               0.000944
                     18,                0.62007,                0.90403,                 1.1817,                 0.7527,                0.64256,                0.71704,                0.55577,                0.85516,                 1.2287,                 1.2763,               0.000878,               0.000878,               0.000878
                     19,                0.60759,                0.89493,                  1.192,                0.61906,                0.61395,                0.67127,                0.42498,                0.94653,                 1.3909,                 1.3171,               0.000812,               0.000812,               0.000812
                     20,                0.59228,                0.89587,                 1.1705,                0.49123,                0.62222,                0.58088,                0.47593,                0.84605,                   1.29,                 1.2753,               0.000746,               0.000746,               0.000746
                     21,                0.67893,                 1.0908,                  1.275,                0.68995,                0.62222,                0.70259,                0.58898,                 0.8151,                 1.1815,                  1.255,                0.00068,                0.00068,                0.00068
                     22,                0.65783,                 1.0187,                 1.2282,                0.77025,                0.56667,                0.69836,                0.57009,                0.84972,                 1.2744,                 1.1944,               0.000614,               0.000614,               0.000614
                     23,                0.65105,                0.98436,                 1.2299,                0.68796,                0.63333,                0.69912,                0.57963,                0.83725,                 1.1699,                 1.2574,               0.000548,               0.000548,               0.000548
                     24,                 0.6193,                0.94097,                 1.2239,                0.72441,                0.66667,                0.74491,                0.62066,                0.73932,                 1.1304,                 1.1477,               0.000482,               0.000482,               0.000482
                     25,                0.58261,                0.88764,                 1.1756,                0.76807,                0.66667,                 0.7613,                0.63835,                0.71558,                 1.0288,                 1.1165,               0.000416,               0.000416,               0.000416
                     26,                 0.5707,                0.86858,                 1.1759,                0.74638,                0.66667,                 0.7731,                0.66577,                0.68759,                0.97837,                 1.1163,                0.00035,                0.00035,                0.00035
                     27,                0.53674,                 0.8308,                 1.1434,                0.79158,                    0.7,                0.77769,                0.65491,                0.69175,                0.98353,                  1.086,               0.000284,               0.000284,               0.000284
                     28,                0.51636,                0.79067,                 1.1397,                0.78913,                0.65556,                0.77749,                0.66232,                0.65582,                 0.9827,                 1.0483,               0.000218,               0.000218,               0.000218
                     29,                0.49636,                0.76248,                 1.1064,                0.86843,                0.62222,                0.77735,                 0.6612,                0.68004,                0.97565,                 1.0733,               0.000152,               0.000152,               0.000152
                     30,                0.46539,                0.73742,                 1.1076,                 0.9009,                 0.6061,                0.78616,                0.68335,                0.68685,                0.96112,                 1.0775,                8.6e-05,                8.6e-05,                8.6e-05
