epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4829,1.35902,1.86264,1.52565,0.27112,0.43558,0.23812,0.09654,2.21466,7.30422,2.94417,0.00064,0.00064,0.00064
2,29.3483,1.67419,1.81837,1.79175,0.03269,0.15644,0.01673,0.00472,3.1305,74.8498,7.5485,0.0012571,0.0012571,0.0012571
3,42.9633,1.78252,1.89261,1.86239,0.13168,0.21166,0.06759,0.02039,2.54427,37.7677,5.07869,0.00183064,0.00183064,0.00183064
4,56.676,1.72316,1.91342,1.82563,0.0127,0.33742,0.00762,0.00258,3.16507,inf,4.10837,0.001802,0.001802,0.001802
5,70.2938,1.63014,1.84357,1.80698,0.12821,0.22699,0.09405,0.03338,2.23398,7.63383,2.85801,0.001736,0.001736,0.001736
6,83.8999,1.56279,1.7334,1.70954,0.28364,0.44479,0.27564,0.11559,2.18873,3.63261,2.52481,0.00167,0.00167,0.00167
7,98.4588,1.51041,1.66688,1.67985,0.41474,0.45092,0.37077,0.15541,1.97178,2.11253,2.36042,0.001604,0.001604,0.001604
8,112.903,1.4754,1.62373,1.65888,0.45817,0.53434,0.48387,0.24308,1.60203,2.50997,1.87023,0.001538,0.001538,0.001538
9,127.514,1.44867,1.55472,1.61576,0.35405,0.54643,0.44438,0.19468,1.86542,2.63774,2.17592,0.001472,0.001472,0.001472
10,141.271,1.39139,1.55533,1.57961,0.41103,0.52761,0.41321,0.17807,1.79516,2.4965,2.02616,0.001406,0.001406,0.001406
11,154.999,1.34149,1.4728,1.56135,0.66638,0.57669,0.61188,0.29998,1.68601,1.63447,2.06911,0.00134,0.00134,0.00134
12,169.535,1.34844,1.42776,1.52786,0.57457,0.63804,0.60496,0.32021,1.45465,1.62568,1.72538,0.001274,0.001274,0.001274
13,184.068,1.29495,1.36187,1.49964,0.73034,0.65031,0.69985,0.3886,1.52377,1.36295,1.78725,0.001208,0.001208,0.001208
14,198.561,1.27507,1.33811,1.49129,0.71973,0.68533,0.71938,0.39058,1.47133,1.35487,1.72101,0.001142,0.001142,0.001142
15,212.889,1.25493,1.36987,1.48845,0.6609,0.61963,0.64738,0.34465,1.46759,1.40284,1.71934,0.001076,0.001076,0.001076
16,226.618,1.19375,1.24239,1.41361,0.71119,0.71779,0.7216,0.44957,1.33271,1.23034,1.58374,0.00101,0.00101,0.00101
17,241.332,1.16443,1.28503,1.43019,0.72865,0.67543,0.73035,0.43198,1.37525,1.30885,1.657,0.000944,0.000944,0.000944
18,255.04,1.16531,1.25235,1.41793,0.74565,0.72699,0.77843,0.4807,1.24814,1.2291,1.51933,0.000878,0.000878,0.000878
19,269.683,1.14703,1.19939,1.40307,0.76739,0.72086,0.76357,0.49756,1.27837,1.14225,1.51426,0.000812,0.000812,0.000812
20,284.171,1.1123,1.16376,1.37748,0.82829,0.73313,0.78623,0.51468,1.20372,1.08054,1.50039,0.000746,0.000746,0.000746
21,325.064,1.10712,1.07027,1.38562,0.79991,0.64724,0.71523,0.45517,1.27066,1.24361,1.57269,0.00068,0.00068,0.00068
22,338.709,1.07547,0.99265,1.37824,0.83402,0.68712,0.79346,0.52892,1.17503,1.07617,1.44917,0.000614,0.000614,0.000614
23,353.093,1.06531,0.96282,1.37261,0.81236,0.75153,0.82355,0.55221,1.13007,1.0026,1.41432,0.000548,0.000548,0.000548
24,367.795,1.01243,0.91281,1.31694,0.83986,0.74001,0.81538,0.56509,1.07388,0.94059,1.38006,0.000482,0.000482,0.000482
25,382.32,0.97924,0.86558,1.27318,0.85977,0.70552,0.8287,0.57265,1.09395,0.94974,1.37793,0.000416,0.000416,0.000416
26,396.936,0.97009,0.86082,1.28311,0.80418,0.78104,0.82968,0.59724,1.01444,0.8598,1.32277,0.00035,0.00035,0.00035
27,411.392,0.91247,0.78789,1.24213,0.89378,0.72274,0.84387,0.58926,1.05632,0.90209,1.34907,0.000284,0.000284,0.000284
28,425.097,0.88019,0.75645,1.21533,0.87372,0.76994,0.84502,0.59503,1.01881,0.84998,1.33036,0.000218,0.000218,0.000218
29,438.841,0.85743,0.74481,1.20418,0.87881,0.72086,0.83351,0.60868,0.98668,0.85127,1.30455,0.000152,0.000152,0.000152
30,453.245,0.83617,0.71989,1.18189,0.87419,0.74598,0.83791,0.61745,0.97513,0.8315,1.29186,8.6e-05,8.6e-05,8.6e-05
